birthYear, deathYear, genre 
1938,2015,Western swing
1910,1990,Country music
1918,1983,Kabyle
1968,2012,Dancehall
1937,1997,Country music
1902,1984,Country music
1902,1984,Jazz
1902,1984,Western (genre)
1902,1984,Popular music
1927,1975,Louisiana blues
1927,1975,Piedmont blues
1908,1990,Bluegrass music
1908,1990,Old-time music
1934,2009,Folk music
1934,2009,Sufi music
1956,1995,Pop music
1909,1947,Country blues
1926,2009,Reggae
1926,2009,Jazz
1925,2006,Jazz
1923,2012,Big band
1923,2012,Swing music
1934,1998,Pop music
1934,1998,Rhythm and blues
1846,1918,Classical music
1965,2005,Baroque
1965,2005,Early music
1921,1997,Rebetiko
1977,2003,Gangsta rap
1977,2003,Southern hip hop
1977,2003,Hardcore hip hop
1943,2014,Jazz
1943,2014,Vocal jazz
1892,1973,Blues
1892,1973,Boogie-woogie
1906,1994,Jazz
1922,2008,Country music
1922,2008,Gospel music
1913,2013,Carnatic music
1944,2011,Pop music
1944,2011,Rhythm and blues
1944,2011,Soul music
1926,1997,Jazz
1930,1997,Australian country music
1907,1990,Polka
1907,1990,Big band
1907,1990,Swing music
1907,1990,Jazz
1907,1990,Dixieland
1927,2000,Jazz
1943,1991,Country music
1943,1991,Rock and roll
1943,1991,Rhythm and blues
1943,1991,Country rock
1945,2008,Music of Serbia
1942,2007,Reggae
1942,2007,Mento
1917,1970,Television
1917,1970,Film
1968,1992,Punk rock
1956,1996,New wave music
1956,1996,Rock music
1956,1996,Reggae
1935,2013,Folk music
1935,2013,Rock music
1935,2013,Jazz
1963,2010,Hard rock
1952,1998,Country music
1952,1998,Gospel music
1951,2000,Rock music
1951,2000,Progressive rock
1925,2005,Bebop
1925,2005,Hard bop
1925,2005,Cool jazz
1925,2005,West Coast jazz
1925,2005,Post-bop
1925,2005,Mainstream jazz
1945,2014,Outlaw country
1945,2014,Texas country music
1951,2012,Reggae
1951,2012,Progressive rock
1951,2012,Soca music
1951,2012,Calypso music
1951,2012,Jazz
1954,2006,Country music
1967,1998,Drum and bass
1967,1998,Electronica
1967,1998,Oldschool jungle
1967,1998,Hip hop music
1951,2014,Rhythm and blues
1924,2013,Big band
1917,1980,Composer
1930,1994,Carnatic music
1929,2013,Carnatic music
1922,1999,Cinema of India
1973,2003,Hip hop music
1670,1748,Hindustani classical music
1899,1980,Mevlevi Order
1899,1980,Ottoman classical music
1879,1952,Cakewalk
1879,1952,March (music)
1879,1952,Waltz (music)
1879,1952,Foxtrot
1846,1902,Mugham
1846,1902,Music of Azerbaijan
1905,1988,Cajun music
1907,1998,Ottoman classical music
1925,1989,Hard bop
1925,1989,Jazz
1939,2005,Folk music
1939,2005,Music in the Chechen Republic
1917,1995,Film score
1953,1991,Mugham
1936,2008,Jazz
1932,1983,Ghazal
1920,2005,Flamenco
1920,2005,Chanson
1920,2005,Middle of the road (music)
1920,2005,Music of Algeria
1849,1888,Opera
1941,2015,Rock music
1884,1951,Musical theatre
1884,1951,Vaudeville
1884,1951,Film
1926,2009,Blues
1950,2004,Country music
1924,1981,Jazz
1930,2013,Jazz
1948,2006,Country music
1948,2006,Folk music
1934,2009,Pop music
1934,2009,Rock and roll
1934,2009,Rhythm and blues
1934,2009,Jump blues
1895,1985,Jazz
1878,1960,Country music
1878,1960,Old-time music
1894,1983,Vaudeville
1903,1995,Jazz
1935,1990,Chicago blues
1903,1989,Musical theatre
1903,1989,Film
1908,1992,Jump blues
1908,1992,Jazz
1921,1994,Indian classical music
1760,1778,Classical music
1760,1778,Baroque music
1962,2008,Freestyle music
1945,2010,Rock and roll
1945,2010,Latin pop
1929,1975,Jazz
1906,1991,Jazz
1923,1994,Blues
1923,1994,Jazz
1918,1977,Country music
1929,1997,Country music
1935,1990,Rebetiko
1935,1990,Laïko
1921,2007,Country music
1933,2000,Jazz
1956,2014,Reggae
1956,2014,Dub music
1946,2009,Jazz
1803,1862,Carnatic music
1916,2007,Hindustani classical music
1914,1943,Taiwanese pop
1906,1995,Blues
1902,1953,Hindustani classical music
1956,2009,Folk music
1956,2009,Rock music
1956,2009,Jazz
1956,2009,Music of the Philippines
1954,2013,Soul music
1954,2013,Manila Sound
1954,2013,Music of the Philippines
1954,2013,Visayan_music
1926,2010,Folk music
1921,0010,Film score
1941,2015,Jazz
1953,2014,Folk music
1897,1983,Dixieland
1951,2011,Folk music
1951,2011,World music
1951,2011,Jazz
1951,2011,Celtic music
1968,1999,Sungura
1903,1975,Folk music of Ireland
1858,1897,Spirituality
1946,2005,Blues
1946,2005,Delta blues
1946,2005,Electric blues
1953,2011,Folk music
1953,2011,Pop music
1953,2011,Rebetiko
1953,2011,Music of Armenia
1953,2011,Armenian revolutionary songs
1923,1994,Country music
1938,2014,Country music
1961,2001,Folk music
1961,2001,Punk rock
1961,2001,Rock music
1919,2010,Soundtrack
1919,2010,Film score
1958,1984,New wave music
1958,1984,Punk rock
1958,1984,Rock music
1958,1984,Synthpop
1958,1984,Post-punk
1958,1984,Electronic music
1933,2015,Jazz
1961,2005,Rhumba
1961,2005,Jit
1961,2005,Sungura
1929,2007,Jazz
1922,2013,Bebop
1922,2013,Jazz
1937,1994,Folk music
1896,1972,Country music
1896,1972,Popular music
1896,1972,Music of Hawaii
1935,2011,Country music
1935,2011,Fingerstyle guitar
1952,2007,Blues
1919,1996,Bolero
1919,1996,Danzón
1919,1996,Canción
1919,1996,Guaracha
1973,2014,Heavy metal music
1973,2014,Progressive metal
1973,2014,Power metal
1973,2014,Jazz fusion
1973,2014,Industrial metal
1973,2014,Melodic death metal
1973,2014,Jazz
1937,2013,Country music
1937,2013,Pop music
1937,2013,Rock and roll
1925,1998,Classical music
1929,2000,Rock and roll
1929,2000,Rhythm and blues
1929,2000,Soul music
1929,2000,Gospel music
1985,2015,Country rock
1985,2015,Indie rock
1985,2015,Alternative rock
